text,Marks,topic,Year,Question_ID,section,marks
How is HTTP related to WWW?,2,Computer Network,2024,1,,
What are the three FTP transmission modes?,2,Computer Network,2024,2,,
What is the role of address field in a packet travelling through a virtual circuit network?,2,Computer Network,2024,3,,
List various broadcast routing methods.,2,Computer Network,2024,4,,
List the important features of LAN.,2,Computer Network,2024,5,,
How is a repeater different from an amplifier?,2,Computer Network,2024,6,,
What is flooding? What are its disadvantages?,2,Computer Network,2024,7,,
Differentiate between Wired and Wireless Networks.,2,Computer Network,2024,8,,
What is the purpose of application layer?,2,Computer Network,2024,9,,
Explain in brief Peer-to-Peer file sharing.,2,Computer Network,2024,10,,
What is pure ALOHA and slotted ALOHA? Consider the delay of both at low load. Which one is less? Explain your answer.,5,Computer Network,2024,11,,
Discuss Domain Name System.,5,Computer Network,2024,12,,
Explain briefly the operation of Hubs and switches.,5,Computer Network,2024,13,,
Define Protocol. What is the need of Protocol?,5,Computer Network,2024,14,,
Differentiate between connection-oriented and connectionless services.,5,Computer Network,2024,15,,
"Explain and differentiate Circuit Switching, Time-division switching, and Space-division switching.",10,Computer Network,2024,16,,
Explain in detail the basic network topologies and all the relevant features.,10,Computer Network,2024,17,,
Write notes on PCH model and switch.,10,Computer Network,2024,18,,
What are the salient features of steam turbines?,2,Electric Power Generation,2024,19,,
List the advantages of Solar Energy.,2,Electric Power Generation,2024,20,,
What is the effect of load on power plant design?,2,Electric Power Generation,2024,21,,
What are the operating characteristics of power plants?,2,Electric Power Generation,2024,22,,
List the components used in Nuclear power plant.,2,Electric Power Generation,2024,23,,
What is meant by Economic Scheduling?,2,Electric Power Generation,2024,24,,
Differentiate between gas turbine and steam power plants.,2,Electric Power Generation,2024,25,,
What are the economic aspects of Geothermal power plants?,2,Electric Power Generation,2024,26,,
What are small scale hydroelectric plants?,2,Electric Power Generation,2024,27,,
Define electric tariffs and peak load pricing.,2,Electric Power Generation,2024,28,,
Describe the components of Gas turbine power plants.,5,Electric Power Generation,2024,29,,
Explain the working of steam and hydraulic turbines and speed governors.,5,Electric Power Generation,2024,30,,
What are Nuclear reactors? Briefly describe different types of Nuclear reactors.,5,Electric Power Generation,2024,31,,
Describe in brief the different types of fuel cells with the help of diagrams.,5,Electric Power Generation,2024,32,,
Explain the working of thermal power plants. Also explain its economic aspects.,5,Electric Power Generation,2024,33,,
Explain the construction and working of Magneto-Hydro Dynamic (MHD) with a diagram.,10,Electric Power Generation,2024,34,,
Explain in detail the principle types of Power Plants along with their specific applications.,10,Electric Power Generation,2024,35,,
What is meant by cogeneration? Explain in detail how the allocation of electricity impacts cogeneration.,10,Electric Power Generation,2024,36,,
Differentiate between microprocessor and Microcontroller.,2,Microprocessor & Microcontroller,2024,37,,
Name the various Instructions set of 8085.,2,Microprocessor & Microcontroller,2024,38,,
What is the maximum clock frequency of the 8051 microcontroller?,2,Microprocessor & Microcontroller,2024,39,,
List out the Single bit Instructions in 8051.,2,Microprocessor & Microcontroller,2024,40,,
What do you mean by data types and directives in 8051?,2,Microprocessor & Microcontroller,2024,41,,
"How many flags are there in the Flag Register of the 8085 microprocessor, and what are their meanings?",2,Microprocessor & Microcontroller,2024,42,,
List few applications of Microprocessor based systems.,2,Microprocessor & Microcontroller,2024,43,,
Write an 8051-assembly program to add two 8-bit numbers.,2,Microprocessor & Microcontroller,2024,44,,
"Explain LDA, STA instruction of 8085.",2,Microprocessor & Microcontroller,2024,45,,
What is the function of ALE and EA/VPP pins in 8051?,2,Microprocessor & Microcontroller,2024,46,,
List out five categories of 8085 instructions. Give example of each group.,5,Microprocessor & Microcontroller,2024,47,,
Discuss the role of register banks and stack in 8051.,5,Microprocessor & Microcontroller,2024,48,,
Explain memory-mapped I/O addressing scheme.,5,Microprocessor & Microcontroller,2024,49,,
How is serial communication established between an 8051 microcontroller and an RS-232 interface?,5,Microprocessor & Microcontroller,2024,50,,
Explain the functional pin diagram of 8051 Microcontroller.,5,Microprocessor & Microcontroller,2024,51,,
Describe the Architecture of 8085 microprocessor in detail.,10,Microprocessor & Microcontroller,2024,52,,
How does the interrupt structure of the 8051 microcontroller work? Explain prioritizing interrupts within it.,10,Microprocessor & Microcontroller,2024,53,,
"Write a short note on any two: a) Interfacing of 8051 with LCD, b) Embedded Processors.",10,Microprocessor & Microcontroller,2024,54,,
State the significance of Smith chart and its features.,2,Electromagnetic Waves,2024,55,,
What is field visualization?,2,Electromagnetic Waves,2024,56,,
State the properties of uniform plane wave.,2,Electromagnetic Waves,2024,57,,
What is the difference between group velocity and phase velocity?,2,Electromagnetic Waves,2024,58,,
Define propagation constant.,2,Electromagnetic Waves,2024,59,,
What is meant by characteristic impedance of transmission line?,2,Electromagnetic Waves,2024,60,,
What is difference between dipole and monopole antenna?,2,Electromagnetic Waves,2024,61,,
What is radiation resistance of Hertz dipole antenna?,2,Electromagnetic Waves,2024,62,,
What is impedance matching?,2,Electromagnetic Waves,2024,63,,
What is waveguide and its importance?,2,Electromagnetic Waves,2024,64,,
Explain wave polarization at media interface.,5,Electromagnetic Waves,2024,65,,
Obtain an expression for the power loss in the plane conductor in terms of surface impedance.,5,Electromagnetic Waves,2024,66,,
Derive the equations of voltage and current on Transmission line.,5,Electromagnetic Waves,2024,67,,
Explain the radiation parameters of antenna.,5,Electromagnetic Waves,2024,68,,
Explain impedance transformation on Lossless and Low loss Transmission line.,5,Electromagnetic Waves,2024,69,,
Derive Maxwell's Field equations and explain their significance.,10,Electromagnetic Waves,2024,70,,
Explain reflection and refraction at dielectric interface.,10,Electromagnetic Waves,2024,71,,
Explain in detail modal propagation in rectangular waveguide.,10,Electromagnetic Waves,2024,72,,
What is a spectrum analyzer?,2,Electronics Measurement,2024,73,A,
Compare LED with LCD.,2,Electronics Measurement,2024,74,A,
Write the importance of range extension.,2,Electronics Measurement,2024,75,A,
What are the important factors to be considered for selecting a transducer?,2,Electronics Measurement,2024,76,A,
Explain how frequency can be measured by a CRO using the Lissajous pattern.,2,Electronics Measurement,2024,77,A,
Discuss various compensation networks required for thermocouples.,2,Electronics Measurement,2024,78,A,
Define a Wave Analyzer and list its types.,2,Electronics Measurement,2024,79,A,
What is gauge factor? Give the gauge factor of a material.,2,Electronics Measurement,2024,80,A,
What is loading effect?,2,Electronics Measurement,2024,81,A,
List different types of errors that occur in measurements.,2,Electronics Measurement,2024,82,A,
"With the help of a neat diagram, explain the working of a ramp-type digital voltmeter.",5,Electronics Measurement,2024,83,B,
"Define the terms: resolution, sensitivity, accuracy, precision & errors.",5,Electronics Measurement,2024,84,B,
Discuss the working of strip chart recorders.,5,Electronics Measurement,2024,85,B,
Draw the block diagram of a function generator and explain its operation.,5,Electronics Measurement,2024,86,B,
Calculate the change in length of the beam and the amount of force applied to the beam given specific parameters of a strain gauge.,5,Electronics Measurement,2024,87,B,
(a) Explain the construction and working of PMMC type instruments. (b) Describe the operation of the Wheatstone bridge and derive the expression for DC resistance.,10,Electronics Measurement,2024,88,C,
(a) Describe the working principle of a piezoelectric transducer. List its various advantages and disadvantages. (b) Discuss the working of a photoconductive cell.,10,Electronics Measurement,2024,89,C,
"Write notes on any two: Telemetry, Cathode Ray Tube, Harmonic distortion analyzer.",10,Electronics Measurement,2024,90,C,
Define directivity of a directional coupler.,2,Microwave Theory,2024,91,A,
Differentiate tunnel diode from ordinary PN diode.,2,Microwave Theory,2024,92,A,
"If a line with Z0 = 300 Ω is open circuited at the far end, what is the VSWR?",2,Microwave Theory,2024,93,A,
Discuss the features of TEM modes.,2,Microwave Theory,2024,94,A,
Define coupling factor.,2,Microwave Theory,2024,95,A,
What is the need for impedance matching?,2,Microwave Theory,2024,96,A,
Name the different frequency bands used in microwave engineering and their frequency spectra.,2,Microwave Theory,2024,97,A,
